IdCliente,Fecha Nacimiento,Actividad Laboral,Estado Civil,Nivel Educacional,Tiene Mora,Saldo Medio Anual,Tiene Crédito Hipotecario,Tiene Crédito de Consumo,Medio de Contacto Preferente,Contactos con su Ejecutivo,Tiene Inversiones
52,1944-03-01,Trabajador Dependiente,Divorciado,Enseñanza Básica,No,5944000,No,No,Celular,0,No
53,1940-03-01,Jubilado,Casado,Universitario,No,4761000,No,No,Fono Particular,1,No
54,1940-03-01,Jubilado,Casado,Enseñanza Media,No,0,No,No,Fono Particular,2,No
55,1940-03-01,Jubilado,Divorciado,Enseñanza Básica,No,0,No,No,Fono Particular,3,No
56,1942-03-01,Jubilado,Casado,Universitario,No,425000,No,No,Fono Particular,1,Si
57,1941-03-01,Jubilado,Soltero,Universitario,No,3349000,No,No,Fono Particular,0,No
58,1940-03-01,Jubilado,Casado,Universitario,No,4761000,No,No,Fono Particular,0,Si
59,1948-03-01,Jubilado,Divorciado,Universitario,No,1097000,No,No,Fono Particular,0,Si
60,1940-03-01,Jubilado,Casado,Enseñanza Media,No,0,No,No,Celular,0,No
61,1941-03-01,Jubilado,Divorciado,Enseñanza Básica,No,46000,No,No,Celular,0,No
62,1948-03-01,Jubilado,Casado,Universitario,No,6236000,No,No,Celular,0,No
63,1942-03-01,Jubilado,Casado,Universitario,No,425000,No,No,Fono Particular,0,No
64,1948-03-02,Trabajador Dependiente,Casado,Enseñanza Básica,No,2140000,No,No,Fono Particular,0,No
65,1945-03-02,Jubilado,Casado,Técnico Profesional,No,211000,No,No,Fono Particular,0,No
66,1941-03-02,Jubilado,Divorciado,Enseñanza Básica,No,0,No,No,Fono Particular,1,No
67,1949-03-02,Jubilado,Casado,Universitario,No,278000,No,No,Celular,0,No
68,1949-03-02,Jubilado,Casado,Universitario,No,8603000,No,No,Celular,0,Si
69,1947-03-02,Jubilado,Divorciado,Universitario,No,1419000,No,No,Fono Particular,0,No
70,1945-03-02,Trabajador Dependiente,Divorciado,Enseñanza Básica,No,1381000,No,No,Celular,1,No
71,1941-03-02,Jubilado,Divorciado,Enseñanza Básica,No,0,No,No,Celular,1,No
72,1941-03-02,Jubilado,Casado,Universitario,No,243000,No,No,Celular,2,No
73,1945-03-02,Trabajador Dependiente,Divorciado,Enseñanza Básica,No,1381000,No,No,Celular,4,Si
74,1945-03-02,Jubilado,Casado,Enseñanza Media,No,121000,No,No,Fono Particular,0,No
75,1942-03-02,Jubilado,Divorciado,Universitario,No,928000,No,No,Fono Particular,3,No
76,1941-03-02,Jubilado,Casado,Enseñanza Media,No,0,No,No,Fono Particular,0,No
77,1947-03-02,Jubilado,Casado,Universitario,No,276000,No,No,Fono Particular,0,No
78,1941-03-02,Técnico,Divorciado,Técnico Profesional,No,0,No,No,Fono Particular,0,No
79,1945-03-02,Jubilado,Casado,Universitario,No,103000,No,No,Celular,0,No
80,1949-03-02,Jubilado,Casado,Universitario,No,8603000,No,No,Celular,1,Si
81,1945-03-02,Trabajador Dependiente,Divorciado,Enseñanza Básica,No,1381000,No,No,Celular,0,No
82,1941-03-02,Jubilado,Divorciado,Universitario,No,0,No,No,Fono Particular,0,No
83,1942-03-03,Jubilado,Casado,Universitario,No,5220000,No,No,Fono Particular,2,Si
84,1942-03-03,Jubilado,Casado,Universitario,No,243000,No,No,Celular,0,No
85,1950-03-03,Jubilado,Divorciado,Técnico Profesional,No,9224000,No,No,Fono Particular,0,No
86,1945-03-03,Jubilado,Casado,Enseñanza Media,No,93000,No,No,Celular,0,No
87,1944-03-03,Jubilado,Divorciado,Universitario,No,452000,No,No,Fono Particular,0,Si
88,1948-03-03,Jubilado,Divorciado,Universitario,No,519000,No,No,Fono Particular,0,No
89,1942-03-03,Jubilado,Divorciado,Técnico Profesional,No,0,No,No,Fono Particular,0,No
90,1942-03-03,Jubilado,Divorciado,Enseñanza Básica,No,0,No,No,Fono Particular,0,No
91,1943-03-03,Jubilado,Casado,Enseñanza Media,No,1000,No,No,Celular,0,No
92,1942-03-03,Jubilado,Casado,Enseñanza Básica,No,0,No,No,Fono Particular,0,No
93,1943-03-03,Jubilado,Divorciado,Universitario,No,4321000,No,No,Celular,0,No
94,1946-03-03,Jubilado,Divorciado,Universitario,No,949000,No,No,Celular,1,Si
95,1944-03-03,Jubilado,Casado,Universitario,No,1154000,No,No,Fono Particular,0,Si
96,1942-03-03,Jubilado,Casado,Universitario,No,243000,No,No,Celular,1,No
97,1942-03-03,Jubilado,Divorciado,Universitario,No,0,No,No,Celular,0,No
98,1942-03-03,Trabajador Dependiente,Casado,Universitario,No,0,No,No,Celular,0,No
99,1947-03-03,Jubilado,Casado,Universitario,No,122000,No,No,Fono Particular,0,No
100,1945-03-04,Jubilado,Casado,Universitario,No,155000,No,No,Fono Particular,2,No
101,1949-03-04,Jubilado,Casado,Universitario,No,3669000,No,No,Celular,0,No
102,1944-03-04,Jubilado,Casado,Universitario,No,1468000,No,No,Celular,0,Si
103,1950-03-04,Jubilado,Casado,Universitario,No,997000,No,No,Celular,3,Si
104,1944-03-04,Jubilado,Divorciado,Universitario,No,235000,No,No,Celular,3,No
105,1949-03-04,Jubilado,Casado,Universitario,No,8304000,No,No,Fono Particular,11,No
106,1947-03-04,Trabajador Dependiente,Casado,Universitario,No,499000,No,No,Fono Particular,4,No
107,1945-03-04,Jubilado,Divorciado,Universitario,No,5861000,No,No,Fono Particular,0,No
108,1945-03-04,Jubilado,Casado,Universitario,No,155000,No,No,Fono Particular,3,No
109,1943-03-04,Jubilado,Casado,Universitario,No,594000,No,No,Fono Particular,0,No
110,1947-03-04,Jubilado,Casado,Universitario,No,1021000,No,No,Fono Particular,0,No
111,1950-03-04,Jubilado,Casado,Universitario,No,1861000,No,No,Fono Particular,0,No
112,1949-03-04,Jubilado,Casado,Universitario,No,8304000,No,No,Fono Particular,13,Si
113,1947-03-04,Jubilado,Casado,Técnico Profesional,No,355000,No,No,Fono Particular,0,No
114,1951-03-04,Jubilado,Casado,Universitario,No,1610000,No,No,Celular,0,No
115,1945-03-04,Jubilado,Casado,Enseñanza Media,No,2000,No,No,Fono Particular,0,No
116,1946-03-04,Gerente,Casado,Universitario,No,6483000,No,No,Fono Particular,0,No
117,1943-03-04,Jubilado,Casado,Universitario,No,1548000,No,No,Celular,0,No
118,1949-03-04,Jubilado,Casado,Universitario,No,2994000,No,No,Celular,0,No
119,1945-03-04,Jubilado,Casado,Universitario,No,2954000,No,No,Celular,0,No
120,1945-03-04,Jubilado,Casado,Universitario,No,155000,No,No,Fono Particular,0,No
121,1946-03-04,Jubilado,Casado,Universitario,No,462000,No,No,Celular,0,No
122,1949-03-04,Jubilado,Casado,Enseñanza Media,No,87000,No,No,Fono Particular,0,No
123,1950-03-04,Jubilado,Casado,Universitario,No,997000,No,No,Celular,1,Si
124,1943-03-04,Trabajador Dependiente,Casado,Enseñanza Básica,No,0,No,No,Celular,1,No
125,1948-03-04,Jubilado,Casado,Universitario,No,2354000,No,No,Fono Particular,2,Si
126,1944-03-04,Jubilado,Casado,Universitario,No,1468000,No,No,Celular,3,No
127,1945-03-04,Jubilado,Casado,Universitario,No,668000,No,No,Fono Particular,1,Si
128,1948-03-04,Jubilado,Casado,Universitario,No,2354000,No,No,Fono Particular,3,No
129,1945-03-04,Jubilado,Casado,Universitario,No,173000,No,No,Celular,0,No
130,1949-03-04,Jubilado,Casado,Universitario,No,8304000,No,No,Fono Particular,12,Si
131,1945-03-05,Jubilado,Divorciado,Universitario,No,631000,No,No,Fono Particular,3,No
132,1944-03-05,Jubilado,Divorciado,Técnico Profesional,No,2628000,No,No,Fono Particular,2,No
133,1950-03-05,Jubilado,Divorciado,Universitario,No,2787000,No,No,Fono Particular,1,Si
134,1948-03-05,Jubilado,Casado,Universitario,No,4738000,No,No,Fono Particular,0,No
135,1945-03-05,Jubilado,Divorciado,Universitario,No,631000,No,No,Fono Particular,1,No
136,1946-03-05,Jubilado,Divorciado,Universitario,No,1910000,No,No,Fono Particular,0,No
137,1950-03-05,Jubilado,Casado,Universitario,No,2661000,No,No,Celular,0,Si
138,1950-03-05,Jubilado,Casado,Universitario,No,8304000,No,No,Celular,9,Si
139,1945-03-05,Jubilado,Casado,Universitario,No,3025000,No,No,Celular,3,Si
140,1944-03-05,Jubilado,Casado,Universitario,No,909000,No,No,Celular,1,No
141,1947-03-05,Jubilado,Casado,Universitario,No,723000,No,No,Fono Particular,3,Si
142,1951-03-05,Jubilado,Divorciado,Enseñanza Básica,No,79000,No,No,Celular,0,No
143,1949-03-05,Jubilado,Casado,Universitario,No,2354000,No,No,Fono Particular,0,No
144,1944-03-05,Trabajador Dependiente,Casado,Enseñanza Básica,No,0,No,No,Celular,0,No
145,1947-03-05,Jubilado,Divorciado,Universitario,No,336000,No,No,Celular,1,No
146,1951-03-05,Jubilado,Casado,Universitario,No,3481000,No,No,Fono Particular,0,No
147,1949-03-05,Jubilado,Casado,Universitario,No,1058000,No,No,Fono Particular,0,No
148,1946-03-05,Jubilado,Divorciado,Enseñanza Básica,No,20000,No,No,Celular,1,No
149,1950-03-05,Jubilado,Casado,Universitario,No,8556000,No,No,Fono Particular,2,Si
150,1947-03-05,Jubilado,Casado,Universitario,No,723000,No,No,Fono Particular,0,No
151,1946-03-05,Jubilado,Casado,Universitario,No,668000,No,No,Fono Particular,0,Si
152,1950-03-05,Jubilado,Casado,Universitario,No,429000,No,No,Fono Particular,0,Si
153,1944-03-05,Jubilado,Casado,Técnico Profesional,No,0,No,No,Fono Particular,0,No
154,1945-03-05,Jubilado,Casado,Universitario,No,3025000,No,No,Fono Particular,6,No
155,1950-03-05,Jubilado,Casado,Universitario,No,8304000,No,No,Fono Particular,0,Si
156,1949-03-06,Trabajador Dependiente,Casado,Universitario,No,499000,No,No,Fono Particular,0,No
157,1951-03-06,Jubilado,Casado,Universitario,No,8556000,No,No,Fono Particular,0,Si
158,1951-03-06,Jubilado,Casado,Universitario,No,240000,No,No,Celular,0,No
159,1953-03-06,Jubilado,Divorciado,Universitario,No,1016000,No,No,Celular,0,No
160,1951-03-06,Jubilado,Divorciado,Universitario,No,2787000,No,No,Fono Particular,0,Si
161,1946-03-06,Jubilado,Casado,Técnico Profesional,No,4807000,No,No,Fono Particular,4,Si
162,1948-03-06,Jubilado,Divorciado,Universitario,No,1389000,No,No,Celular,0,Si
163,1949-03-06,Jubilado,Casado,Técnico Profesional,No,3208000,No,No,Fono Particular,0,Si
164,1949-03-06,Jubilado,Casado,Universitario,No,832000,No,No,Fono Particular,0,No
165,1951-03-06,Jubilado,Divorciado,Universitario,No,3417000,No,No,Celular,1,Si
166,1950-03-06,Jubilado,Casado,Universitario,No,680000,No,No,Fono Particular,9,No
167,1948-03-06,Jubilado,Divorciado,Universitario,No,4917000,No,No,Celular,0,No
168,1953-03-06,Jubilado,Casado,Universitario,No,2735000,No,No,Fono Particular,0,No
169,1950-03-06,Jubilado,Casado,Universitario,No,158000,No,No,Celular,0,No
170,1948-03-06,Trabajador Dependiente,Casado,Universitario,No,2235000,No,No,Fono Particular,0,Si
171,1945-03-06,Jubilado,Divorciado,Técnico Profesional,No,2628000,No,No,Fono Particular,0,No
172,1952-03-06,Gerente,Casado,Técnico Profesional,No,1780000,Si,No,Celular,7,Si
173,1947-03-06,Jubilado,Casado,Universitario,No,14204000,No,No,Celular,1,No
174,1950-03-06,Jubilado,Divorciado,Universitario,No,527000,No,No,Celular,0,Si
175,1946-03-06,Jubilado,Divorciado,Universitario,No,631000,No,No,Fono Particular,0,No
176,1949-03-06,Jubilado,Casado,Universitario,No,220000,No,No,Celular,0,No
177,1945-03-06,Jubilado,Divorciado,Técnico Profesional,No,0,No,No,Fono Particular,0,No
178,1949-03-06,Jubilado,Casado,Universitario,No,301000,No,No,Celular,0,No
179,1946-03-06,Jubilado,Casado,Universitario,No,226000,No,No,Fono Particular,0,No
180,1946-03-06,Jubilado,Divorciado,Enseñanza Básica,No,55000,No,No,Fono Particular,1,No
181,1949-03-06,Jubilado,Divorciado,Universitario,No,229000,No,No,Fono Particular,0,No
182,1946-03-06,Jubilado,Casado,Técnico Profesional,No,4807000,No,No,Fono Particular,0,Si
183,1952-03-06,Jubilado,Casado,Universitario,No,1204000,No,No,Fono Particular,0,Si
184,1951-03-06,Jubilado,Divorciado,Universitario,No,3219000,No,No,Celular,0,Si
185,1947-03-06,Jubilado,Casado,Técnico Profesional,No,38000,No,No,Fono Particular,3,No
186,1954-03-07,Jubilado,Casado,Universitario,No,4112000,No,No,Fono Particular,3,Si
187,1946-03-07,Jubilado,Casado,Universitario,No,2223000,No,No,Fono Particular,1,No
188,1953-03-07,Jubilado,Casado,Universitario,No,2590000,No,No,Fono Particular,20,Si
189,1949-03-07,Jubilado,Casado,Universitario,No,1047000,No,No,Celular,0,No
190,1951-03-07,Jubilado,Casado,Universitario,No,680000,No,No,Fono Particular,7,No
191,1953-03-07,Jubilado,Casado,Universitario,No,2590000,No,No,Fono Particular,15,No
192,1954-03-07,Jubilado,Casado,Universitario,No,638000,No,No,Celular,1,Si
193,1953-03-07,Jubilado,Casado,Universitario,No,2590000,No,No,Fono Particular,12,Si
194,1952-03-07,Jubilado,Divorciado,Universitario,No,3417000,No,No,Celular,0,Si
195,1953-03-07,Jubilado,Casado,Técnico Profesional,No,1807000,No,No,Fono Particular,0,Si
196,1953-03-07,Gerente,Casado,Técnico Profesional,No,1780000,Si,No,Celular,3,Si
197,1951-03-07,Jubilado,Casado,Universitario,No,680000,No,No,Fono Particular,0,No
198,1951-03-07,Jubilado,Casado,Universitario,No,680000,No,No,Fono Particular,3,No
199,1954-03-07,Jubilado,Casado,Universitario,No,989000,No,No,Fono Particular,0,No
200,1950-03-07,Jubilado,Casado,Universitario,No,121000,No,No,Fono Particular,0,No
201,1949-03-07,Jubilado,Soltero,Universitario,No,300000,No,No,Celular,0,No
202,1946-03-07,Jubilado,Divorciado,Enseñanza Media,No,0,No,No,Celular,0,No
203,1954-03-07,Jubilado,Casado,Universitario,No,638000,No,No,Celular,0,Si
204,1946-03-07,Jubilado,Casado,Universitario,No,0,No,No,Celular,1,No
205,1952-03-07,Jubilado,Casado,Universitario,No,699000,No,No,Celular,0,Si
206,1953-03-07,Jubilado,Casado,Universitario,No,610000,No,No,Celular,0,No
207,1946-03-07,Jubilado,Casado,Universitario,No,0,No,No,Celular,0,No
208,1953-03-07,Jubilado,Casado,Universitario,No,1492000,No,No,Fono Particular,2,No
209,1946-03-07,Jubilado,Casado,Universitario,No,0,No,No,Celular,0,No
210,1954-03-07,Jubilado,Casado,Universitario,No,1385000,No,No,Fono Particular,0,No
211,1947-03-07,Técnico,Casado,Técnico Profesional,No,397000,No,No,Fono Particular,3,No
212,1948-03-07,Jubilado,Divorciado,Universitario,No,2693000,No,No,Celular,12,No
213,1947-03-07,Jubilado,Casado,Universitario,No,820000,No,No,Fono Particular,4,Si
214,1952-03-07,Jubilado,Divorciado,Universitario,No,4659000,No,No,Celular,0,Si
215,1949-03-07,Jubilado,Casado,Universitario,No,3324000,No,No,Celular,5,Si
216,1947-03-07,Técnico,Casado,Técnico Profesional,No,397000,No,No,Fono Particular,0,Si
217,1949-03-07,Gerente,Casado,Universitario,No,5619000,No,No,Celular,0,No
218,1954-03-07,Jubilado,Casado,Universitario,No,7802000,No,No,Fono Particular,2,Si
219,1953-03-07,Gerente,Casado,Técnico Profesional,No,1780000,Si,No,Celular,5,Si
220,1948-03-07,Jubilado,Casado,Técnico Profesional,No,992000,No,No,Celular,2,No
221,1948-03-07,Jubilado,Casado,Técnico Profesional,No,38000,No,No,Fono Particular,0,No
222,1954-03-07,Jubilado,Casado,Universitario,No,2123000,No,No,Fono Particular,0,No
223,1954-03-07,Jubilado,Casado,Universitario,No,7802000,No,No,Fono Particular,0,Si
224,1954-03-07,Jubilado,Casado,Universitario,No,4112000,No,No,Fono Particular,2,Si
225,1946-03-07,Jubilado,Divorciado,Universitario,No,639000,No,No,Fono Particular,0,No
226,1953-03-07,Jubilado,Casado,Universitario,No,9601000,No,No,Fono Particular,0,Si
227,1948-03-07,Jubilado,Casado,Universitario,No,1208000,No,No,Fono Particular,0,No
228,1946-03-07,Jubilado,Casado,Universitario,No,29340000,No,No,Celular,2,Si
229,1946-03-07,Jubilado,Casado,Universitario,No,0,No,No,Celular,0,No
230,1948-03-08,Jubilado,Divorciado,Universitario,No,802000,No,No,Celular,5,Si
231,1954-03-08,Gerente,Casado,Técnico Profesional,No,1780000,Si,No,Fono Particular,0,Si
232,1954-03-08,Jubilado,Divorciado,Universitario,No,3049000,No,No,Celular,0,Si
233,1950-03-08,Jubilado,Casado,Universitario,No,2991000,No,No,Celular,2,No
234,1953-03-08,Jubilado,Casado,Universitario,No,852000,No,No,Fono Particular,0,No
235,1947-03-08,Jubilado,Casado,Universitario,No,2223000,No,No,Fono Particular,0,Si
236,1947-03-08,Jubilado,Casado,Técnico Profesional,No,8919000,No,No,Celular,0,No
237,1949-03-08,Jubilado,Divorciado,Universitario,No,2693000,No,No,Celular,2,No
238,1948-03-08,Jubilado,Casado,Universitario,No,820000,No,No,Fono Particular,0,Si
239,1954-03-08,Trabajador Independiente,Casado,Técnico Profesional,No,4984000,No,No,Fono Particular,1,Si
240,1954-03-08,Jubilado,Casado,Universitario,No,2590000,No,No,Fono Particular,0,No
241,1954-03-08,Trabajador Dependiente,Divorciado,Enseñanza Básica,No,1411000,No,No,Fono Particular,0,Si
242,1947-03-08,Jubilado,Casado,Universitario,No,0,No,No,Fono Particular,0,No
243,1950-03-08,Jubilado,Casado,Universitario,No,3324000,No,No,Celular,1,Si
244,1952-03-08,Jubilado,Divorciado,Enseñanza Básica,No,86000,No,No,Celular,0,No
245,1948-03-08,Jubilado,Casado,Universitario,No,163000,No,No,Fono Particular,0,No
246,1954-03-08,Trabajador Dependiente,Divorciado,Enseñanza Básica,No,1411000,No,No,Fono Particular,3,Si
247,1955-03-08,Jubilado,Casado,Universitario,No,242000,No,No,Fono Particular,0,No
248,1948-03-08,Jubilado,Divorciado,Universitario,No,802000,No,No,Celular,0,Si
249,1951-03-08,Jubilado,Casado,Universitario,No,2632000,No,No,Celular,0,No
250,1950-03-08,Jubilado,Casado,Universitario,No,2991000,No,No,Celular,1,Si
251,1955-03-08,Jubilado,Casado,Universitario,No,4112000,No,No,Fono Particular,0,Si
252,1949-03-08,Jubilado,Casado,Técnico Profesional,No,992000,No,No,Celular,0,No
253,1949-03-08,Jubilado,Divorciado,Universitario,No,2693000,No,No,Celular,0,Si
254,1954-03-08,Jubilado,Casado,Universitario,No,1492000,No,No,Fono Particular,0,Si
255,1954-03-08,Jubilado,Casado,Universitario,No,2302000,No,No,Fono Particular,0,No
256,1950-03-08,Jubilado,Casado,Universitario,No,3324000,No,No,Celular,3,Si
257,1947-03-08,Jubilado,Casado,Universitario,No,0,No,No,Fono Particular,1,No
258,1954-03-08,Jubilado,Casado,Universitario,No,2302000,No,No,Fono Particular,2,No
259,1950-03-08,Jubilado,Casado,Universitario,No,3324000,No,No,Celular,4,Si
260,1954-03-08,Trabajador Independiente,Casado,Técnico Profesional,No,4984000,No,No,Fono Particular,2,No
261,1954-03-08,Trabajador Dependiente,Casado,Enseñanza Básica,No,1483000,No,No,Celular,0,No
262,1951-03-09,Jubilado,Casado,Universitario,No,291000,No,No,Celular,2,No
263,1951-03-09,Jubilado,Casado,Universitario,No,3504000,No,No,Fono Particular,0,No
264,1956-03-09,Jubilado,Casado,Universitario,No,962000,No,No,Celular,0,No
265,1948-03-09,Jubilado,Casado,Universitario,No,468000,No,No,Fono Particular,0,No
266,1953-03-09,Trabajador Dependiente,Casado,Universitario,No,6053000,No,No,Celular,1,No
267,1951-03-09,Jubilado,Casado,Universitario,No,291000,No,No,Celular,1,No
268,1955-03-09,Jubilado,Casado,Técnico Profesional,No,7819000,No,No,Celular,4,No
269,1950-03-09,Jubilado,Divorciado,Universitario,No,37127000,No,No,Celular,0,No
270,1951-03-09,Jubilado,Divorciado,Universitario,No,2199000,No,No,Fono Particular,0,No
271,1948-03-09,Jubilado,Casado,Universitario,No,324000,No,No,Fono Particular,4,No
272,1954-03-09,Jubilado,Casado,Universitario,No,6027000,No,No,Celular,2,Si
273,1955-03-09,Trabajador Independiente,Casado,Técnico Profesional,No,4984000,No,No,Fono Particular,0,Si
274,1948-03-09,Jubilado,Divorciado,Universitario,No,1341000,No,No,Celular,0,Si
275,1949-03-09,Jubilado,Casado,Universitario,No,26452000,No,No,Fono Particular,0,No
276,1949-03-09,Jubilado,Casado,Universitario,No,5491000,No,No,Fono Particular,0,No
277,1952-03-09,Trabajador Dependiente,Casado,Universitario,No,643000,No,No,Celular,0,No
278,1948-03-09,Jubilado,Casado,Universitario,No,3771000,No,No,Fono Particular,1,Si
279,1953-03-09,Trabajador Dependiente,Casado,Universitario,No,6053000,No,No,Fono Particular,0,No
280,1948-03-09,Jubilado,Casado,Universitario,No,2970000,No,No,Celular,0,Si
281,1948-03-09,Jubilado,Casado,Universitario,No,1413000,No,No,Celular,2,Si
282,1951-03-09,Jubilado,Divorciado,Universitario,No,3810000,Si,No,Celular,1,Si
283,1951-03-09,Jubilado,Divorciado,Universitario,No,1092000,No,No,Fono Particular,2,No
284,1955-03-09,Jubilado,Casado,Universitario,No,4912000,No,No,Fono Particular,5,No
285,1948-03-09,Jubilado,Divorciado,Universitario,No,1926000,No,No,Celular,5,No
286,1954-03-09,Jubilado,Divorciado,Universitario,No,852000,No,No,Celular,1,No
287,1949-03-09,Jubilado,Casado,Universitario,No,1765000,No,No,Fono Particular,4,Si
288,1949-03-09,Jubilado,Divorciado,Enseñanza Básica,No,46000,No,No,Celular,0,No
289,1951-03-09,Jubilado,Casado,Universitario,No,3324000,No,No,Celular,0,No
290,1954-03-09,Jubilado,Divorciado,Enseñanza Media,No,105000,No,No,Celular,0,No
291,1950-03-09,Jubilado,Divorciado,Universitario,No,3881000,Si,No,Celular,0,Si
292,1955-03-09,Jubilado,Casado,Universitario,No,358000,No,No,Celular,0,No
293,1951-03-09,Jubilado,Casado,Universitario,No,1470000,No,No,Fono Particular,0,No
294,1948-03-09,Jubilado,Casado,Universitario,No,3771000,No,No,Fono Particular,2,Si
295,1954-03-09,Jubilado,Casado,Universitario,No,6027000,No,No,Celular,4,Si
296,1951-03-09,Jubilado,Casado,Universitario,No,2991000,No,No,Celular,0,Si
297,1952-03-09,Trabajador Dependiente,Casado,Técnico Profesional,No,1093000,No,No,Celular,0,No
298,1948-03-09,Jubilado,Divorciado,Enseñanza Básica,No,18000,No,No,Celular,0,No
299,1949-03-09,Jubilado,Casado,Universitario,No,1765000,No,No,Fono Particular,2,No
300,1954-03-09,Jubilado,Divorciado,Universitario,No,852000,No,No,Celular,0,No
301,1956-03-10,Jubilado,Casado,Universitario,No,1843000,No,No,Celular,2,Si
302,1953-03-10,Jubilado,Casado,Universitario,No,670000,No,No,Celular,0,Si
