PAIS;PIB;POB;IDH;GINI;IPC;FAO;GENERO;ELECTRICIDAD;ESCOLARIDAD;SUICIDIOFEM;SUICIDIOMAS;BOSQUE;FOSIL;DIOXIDO;DESASTRE;AFECTADOS;HOMICIDIO;MORTINF;MORTMAT;TURISMO;INTERNET;VIOLENCIA;VIDA;CELULAR;DESERCION;PRISION;RENOVABLE;PARLAMENTO;INMIGRANTES
Poland;881.48;38.531;0.8427;32.78;109.08;2.65;0.138;100;15.47;3.8;30.5;30.67;90.68;8.336;10.737;0.000;1.2;5.2;3;15.800;66.60;35.0;77.4;156.45;1.47;217;9.55;22.14;1.74
Egypt;880.75;82.056;0.6899;30.75;129.06;7.47;0.573;100;13.53;1.2;2.4;0.07;96.48;2.781;0.451;0.066;3.4;21.8;45;9.174;31.70;33.7;71.1;114.31;3.90;80;3.70;2.18;0.36
Pakistan;811.28;182.143;0.5384;29.63;132.20;7.14;0.536;94;7.79;9.6;9.1;2.08;60.89;0.928;5284.630;531.791;7.7;85.5;170;0.966;13.80;50.0;66.2;73.33;37.81;39;39.11;19.67;2.24
Netherlands;755.26;16.804;0.9218;28.87;107.47;1.38;0.062;100;17.92;4.8;11.7;10.82;91.45;10.064;0.000;0.000;0.9;4.0;6;12.800;93.17;39.5;81.6;116.42;6.06;82;6.67;36.89;11.72
Malaysia;671.29;29.717;0.7792;46.21;107.12;2.91;0.209;100;12.73;1.5;4.7;61.73;94.48;7.848;301.938;3.075;2.3;8.5;29;25.700;67.50;37.6;74.7;148.83;0.88;132;5.48;14.23;8.31
South Africa;641.38;52.982;0.6659;65.02;117.13;3.04;0.407;85;13.56;1.1;5.5;7.62;87.24;9.257;45.591;0.894;31.0;43.9;140;9.537;49.00;25.2;57.4;149.68;23.01;294;12.95;40.75;4.55
Philippines;622.46;98.394;0.6682;43.03;111.20;6.84;0.420;88;11.28;1.2;4.8;26.07;59.67;0.863;10423.958;9.597;8.8;29.9;120;4.681;39.69;23.6;68.2;111.22;24.22;111;40.33;27.07;0.22
Colombia;581.08;48.321;0.7202;53.53;108.86;2.74;0.429;97;13.55;1.9;9.1;54.35;75.59;1.538;869.828;1.320;30.8;16.9;83;2.288;52.57;37.4;74.0;113.08;15.29;245;24.82;20.90;0.27
Venezuela;535.58;30.405;0.7623;44.77;214.69;4.52;0.476;100;14.22;1.0;4.3;51.81;88.85;6.400;16.575;0.390;53.7;14.9;110;0.986;57.00;27.4;74.2;98.95;4.88;161;11.18;16.97;3.85
United Arab Emirates;525.13;9.206;0.8355;29.00;102.66;1.58;0.232;98;13.33;1.7;3.9;3.82;48.29;19.998;0.087;0.000;0.7;8.2;8;7.126;90.40;39.5;77.0;178.06;8.04;238;0.08;17.50;83.75
Algeria;505.51;39.208;0.7356;38.82;117.52;5.11;0.413;100;13.97;1.5;2.3;0.62;99.89;3.224;13.463;0.469;0.7;25.2;89;2.634;18.09;29.2;74.8;93.31;7.23;162;0.14;25.74;0.69
Iraq;483.60;33.417;0.6539;29.54;114.35;5.06;0.539;100;10.08;2.1;1.2;1.90;97.50;4.208;7.717;0.282;8.0;34.0;67;0.892;11.30;27.4;69.4;94.91;5.36;110;0.95;26.52;0.28
Vietnam;459.72;89.709;0.6657;35.62;138.01;4.11;0.308;99;11.90;2.4;8.0;45.43;71.05;1.972;1799.523;85.057;3.3;23.8;49;7.572;48.31;38.5;75.8;147.11;5.50;145;28.23;24.30;0.07
Belgium;454.60;11.195;0.8903;33.14;107.66;1.68;0.063;100;16.33;7.7;21.0;22.45;70.09;8.849;0.100;0.000;1.6;4.4;6;7.684;85.00;28.9;80.8;114.27;13.49;108;28.26;42.38;10.44
Bangladesh;446.84;156.595;0.5701;32.12;126.44;7.99;0.503;60;9.98;8.7;6.8;11.04;71.53;0.373;4402.250;11.935;2.7;41.1;170;0.148;9.60;53.3;71.6;75.92;33.80;42;28.47;20.00;0.89
Switzerland;442.04;8.081;0.9296;32.35;99.32;1.35;0.028;100;15.79;5.1;13.6;31.61;51.08;4.625;0.591;0.000;0.6;4.2;6;8.967;87.00;39.0;83.0;140.54;6.06;82;49.66;28.46;28.91
Sweden;419.59;9.593;0.9068;26.08;103.83;1.46;0.055;100;15.82;6.1;16.2;69.24;31.74;5.518;0.000;0.000;0.7;3.0;4;5.229;92.52;46.0;82.2;127.84;4.42;67;70.53;43.55;15.88
Singapore;411.62;5.399;0.9118;29.95;112.65;1.02;0.088;100;15.40;5.3;9.8;3.29;97.21;4.320;0.000;0.000;0.2;2.8;6;11.900;82.00;9.2;83.0;158.13;1.32;230;2.79;25.25;42.93
Ukraine;387.03;45.490;0.7470;24.82;108.26;5.23;0.286;100;15.14;5.3;30.3;16.84;79.63;6.262;42.932;0.322;4.3;10.0;23;24.700;43.40;18.3;71.0;144.08;0.65;305;20.71;11.85;11.39
Kazakhstan;382.78;17.038;0.7880;28.56;120.54;3.27;0.267;100;15.02;9.3;40.6;1.22;98.94;15.810;10.794;0.943;7.8;16.3;26;4.926;54.89;31.3;69.4;168.62;0.72;295;0.97;20.13;21.14
Chile;382.59;17.620;0.8322;50.84;108.35;2.62;0.338;100;15.25;5.8;19.0;21.93;75.64;4.588;423.780;85.145;3.1;8.2;22;3.576;72.35;35.7;81.7;133.26;1.33;266;24.16;15.82;2.26
Austria;376.03;8.474;0.8850;30.04;107.95;1.43;0.053;100;15.75;5.4;18.2;47.29;67.08;7.770;0.163;0.000;0.9;3.9;4;24.800;81.00;29.1;81.4;151.91;0.26;98;32.18;30.33;15.70
Hong Kong ;370.22;7.187;0.9100;29.95;114.30;1.56;0.053;100;15.60;5.8;16.3;41.16;94.77;5.695;1.587;0.000;0.4;7.8;5;25.700;74.56;21.0;84.0;239.30;1.00;128;0.39;34.69;38.93
Romania;363.34;19.964;0.7928;27.33;113.67;3.70;0.333;100;14.21;2.9;18.4;28.89;77.67;4.211;11.215;0.529;1.7;12.0;33;8.019;54.08;28.5;74.7;105.91;5.95;155;22.77;11.95;0.92
Liechtenstein;361.83;8.811;0.9075;29.00;106.46;1.58;0.064;100;14.95;5.8;19.8;43.13;48.29;1.411;0.048;0.000;0.0;5.1;5;0.052;95.21;39.5;80.0;104.32;20.60;24;55.98;20.00;33.06
Andorra;361.83;8.811;0.8446;29.00;106.46;1.58;0.064;100;13.52;6.5;19.8;34.04;48.29;6.311;0.048;0.000;1.3;3.0;5;2.335;95.90;39.5;81.3;82.64;6.12;38;40.89;50.00;56.91
Peru;346.18;30.376;0.7342;45.33;110.17;3.87;0.406;91;13.07;2.1;4.4;52.88;75.98;1.792;407.279;5.964;9.6;16.7;89;3.164;40.20;38.9;74.6;102.92;26.12;202;24.01;22.31;0.35
Norway;317.50;5.084;0.9439;26.83;104.19;1.51;0.067;100;17.49;5.2;13.0;27.97;57.27;9.193;0.063;0.000;2.2;2.8;4;4.963;96.30;26.8;81.6;116.51;1.51;72;47.75;39.64;13.77
Czech Republic;294.17;10.521;0.8701;26.39;106.81;2.27;0.091;100;16.39;3.9;21.5;34.46;76.85;10.431;132.271;0.000;1.0;3.6;5;9.004;79.71;58.0;78.6;130.03;0.75;154;26.51;18.86;4.04
Qatar;276.64;2.169;0.8498;29.95;107.07;1.75;0.524;98;13.79;1.2;5.7;0.00;100.00;43.893;0.014;0.000;1.1;8.2;6;2.611;91.49;38.3;78.2;145.76;2.26;60;0.00;0.00;73.82
Greece;270.73;11.032;0.8652;34.74;103.92;2.55;0.146;100;17.63;1.3;6.3;30.75;90.58;7.556;9.129;0.404;1.7;4.4;5;17.900;63.21;30.5;80.9;114.96;5.58;111;8.83;21.00;8.88
Portugal;267.73;10.460;0.8301;30.66;106.82;2.47;0.111;100;16.31;3.5;13.6;37.82;74.92;4.710;0.507;0.008;1.2;3.8;8;8.097;64.59;38.0;80.9;111.80;2.33;136;21.98;31.30;8.43
Kuwait;267.70;3.250;0.8163;29.00;111.19;2.60;0.387;98;14.75;0.8;1.0;0.37;100.00;29.132;0.000;0.000;0.4;9.5;14;0.300;78.70;39.5;74.4;218.43;5.93;137;0.00;1.54;60.21
Israel;249.25;8.060;0.8943;42.78;106.83;2.20;0.101;100;15.95;2.3;9.8;7.10;96.69;8.952;223.870;0.000;1.8;4.0;2;2.962;71.45;43.7;82.4;121.45;1.06;223;4.82;22.50;26.47
Denmark;235.72;5.614;0.9233;26.88;106.06;1.31;0.048;100;18.69;4.1;13.6;12.92;70.58;7.248;0.000;0.000;0.8;3.5;5;8.557;95.99;50.0;80.2;125.96;1.11;73;26.77;37.99;9.91
Morocco;233.93;33.575;0.6280;40.88;104.14;5.67;0.525;100;11.56;1.2;9.9;11.54;93.60;1.764;24.759;0.000;2.2;30.4;120;10.000;56.80;44.5;74.0;131.71;10.75;220;4.11;10.98;0.15
Hungary;226.78;9.897;0.8284;28.94;111.79;2.43;0.209;100;15.39;7.4;32.4;22.62;71.13;4.863;10.438;0.000;1.3;6.1;14;10.700;76.13;30.5;75.2;118.05;1.93;186;25.96;10.10;4.75
Cuba;211.95;11.276;0.7690;47.08;110.49;3.38;0.356;100;13.83;4.5;18.5;27.61;86.72;3.186;345.321;7.509;4.2;6.2;80;2.829;30.00;46.9;79.4;22.48;4.21;510;13.28;48.86;0.14
Finland;211.30;5.439;0.8827;27.79;107.89;1.60;0.075;100;17.07;7.5;22.2;72.91;43.04;10.164;0.041;0.000;1.6;2.6;4;4.226;92.38;43.5;80.8;139.66;0.45;58;47.50;42.50;5.40
Ireland;206.47;4.595;0.9155;32.06;104.84;1.23;0.113;100;18.57;5.2;16.9;10.98;84.73;7.881;0.062;0.000;1.2;3.8;9;8.260;79.69;14.5;80.9;104.26;6.12;88;6.41;19.91;15.90
Sri Lanka;193.07;20.483;0.7567;36.40;122.70;6.88;0.370;89;13.71;12.8;46.4;29.19;48.66;0.730;955.485;118.126;3.4;9.6;29;1.275;25.80;38.4;74.9;103.16;3.43;132;51.34;5.78;1.53
Argentina;192.64;8.382;0.8356;43.57;110.45;3.27;0.376;100;17.95;4.1;17.2;10.57;89.67;4.666;13.974;0.150;5.5;13.3;69;5.571;64.70;31.3;76.3;158.74;2.90;147;9.30;36.78;4.55
Ecuador;165.89;15.738;0.7317;46.57;112.81;3.39;0.407;97;14.17;5.3;13.2;38.13;86.29;2.343;94.458;1.547;12.4;22.5;87;1.364;43.00;46.3;75.9;103.90;11.10;149;12.86;41.61;2.28
Belarus;161.44;9.466;0.7984;26.46;288.65;5.29;0.151;100;15.66;6.4;32.7;42.91;90.37;6.683;4.463;0.000;5.1;4.9;1;0.137;59.02;27.4;71.3;122.50;1.33;335;5.88;30.12;11.60
Angola;160.78;21.472;0.5316;42.66;136.13;7.22;0.407;37;11.39;7.3;20.7;46.71;39.28;1.472;289.295;11.168;10.0;167.4;460;0.650;21.26;32.1;52.3;63.48;68.13;105;60.72;36.82;0.41
Azerbaijan;156.25;9.417;0.7511;33.03;111.58;3.18;0.303;100;11.94;1.0;2.4;11.32;97.86;3.647;10.157;0.724;2.1;34.2;26;2.130;61.00;15.0;70.8;110.91;1.81;413;2.60;15.57;3.44
Uzbekistan;151.28;30.241;0.6755;35.19;112.92;6.45;0.515;100;11.51;4.1;13.2;7.68;98.17;3.915;0.174;0.000;3.7;42.5;36;1.969;43.55;39.4;68.4;73.79;1.92;152;1.84;16.40;4.38
Oman;147.58;3.314;0.7930;29.00;108.43;3.28;0.275;98;13.64;0.6;1.2;0.01;100.00;21.441;2.261;0.000;1.1;11.4;11;1.551;70.22;39.5;76.8;157.75;6.44;61;0.00;9.58;30.61
New Zealand;146.68;4.471;0.9135;28.76;106.73;1.96;0.157;100;19.16;5.0;14.4;31.34;61.43;7.124;63.604;0.072;0.9;6.3;8;2.629;85.50;33.1;81.8;112.05;2.49;192;38.37;31.40;25.14
Slovakia;142.19;5.414;0.8436;26.58;109.17;2.60;0.164;100;15.06;2.5;18.5;40.21;67.51;6.368;0.104;0.000;1.4;7.2;7;6.235;79.98;27.9;76.3;116.94;2.05;187;32.31;18.67;2.75
Libya;126.33;6.202;0.7245;37.68;125.71;3.27;0.134;100;14.04;1.4;2.2;0.12;98.74;6.393;0.208;0.000;1.7;14.5;15;0.034;17.76;27.4;71.6;161.12;3.39;81;1.29;15.96;12.19
Ethiopia;125.69;94.101;0.4418;33.60;176.77;6.25;0.558;27;8.50;6.7;16.5;12.01;5.72;0.084;2434.453;0.089;12.0;64.4;420;0.681;2.90;55.9;64.1;31.59;63.40;136;94.28;25.51;0.76
Sudan;123.94;37.964;0.4791;35.29;218.04;4.11;0.591;33;7.00;11.5;23.0;23.18;29.51;0.354;1062.470;23.805;11.2;76.6;360;0.591;24.64;50.1;63.5;72.20;20.13;56;70.49;23.76;1.18
Dominican Republic;122.72;10.404;0.7150;45.68;117.90;4.09;0.477;98;13.08;2.1;6.1;40.81;89.35;2.157;42.211;1.203;22.1;28.1;100;4.690;49.58;17.2;73.5;78.86;8.86;240;10.65;19.07;3.87
Kenya;119.99;44.354;0.5484;47.68;131.85;5.84;0.552;23;10.98;8.4;24.4;6.05;19.71;0.323;2052.324;0.548;6.4;70.7;400;1.434;43.40;45.1;61.6;73.84;22.37;121;80.29;20.81;2.15
Tunisia;117.22;10.886;0.7212;35.79;115.98;3.86;0.240;100;14.62;1.4;3.4;6.69;85.25;2.402;0.670;0.000;2.2;15.2;46;6.269;46.16;27.1;74.8;128.49;5.87;199;14.77;31.34;0.33
Bulgaria;114.03;7.265;0.7817;34.28;108.25;3.19;0.212;100;14.35;5.3;16.6;37.19;75.04;6.714;5.871;0.000;1.9;11.6;5;6.898;55.49;27.4;74.2;137.71;3.06;151;29.36;20.42;1.16
Guatemala;109.24;15.468;0.6272;52.35;115.02;7.11;0.533;79;10.69;4.3;13.7;33.08;33.51;0.765;776.551;6.703;39.9;31.0;140;1.331;23.40;27.6;71.8;106.63;33.27;105;66.19;13.29;0.47
Ghana;100.10;25.905;0.5791;42.76;132.46;5.40;0.554;64;11.50;2.2;4.2;20.70;37.37;0.406;79.143;0.000;6.1;78.4;380;0.931;18.90;44.5;61.4;114.82;16.29;54;63.12;10.91;1.39
Yemen;93.54;24.407;0.4981;35.91;145.77;7.58;0.744;48;9.15;3.0;4.3;1.04;98.51;0.957;8.781;0.412;4.8;51.3;270;0.990;22.55;39.4;63.8;68.49;40.50;55;1.49;0.73;1.29
Serbia;92.36;7.164;0.7711;29.65;128.46;3.96;0.176;100;14.39;5.8;19.9;32.10;89.09;6.799;129.536;0.109;1.2;6.6;16;0.922;53.50;26.2;74.9;122.13;0.78;142;11.06;34.00;5.60
Croatia;85.32;4.253;0.8175;33.61;108.08;3.16;0.149;100;14.81;4.5;19.8;34.43;81.60;4.802;1.177;0.000;1.2;4.5;13;11.000;68.57;26.2;77.3;104.43;0.56;108;10.56;25.83;17.65
Tanzania;82.16;47.822;0.5212;37.82;141.01;11.54;0.547;15;9.17;18.3;31.6;36.83;10.69;0.158;527.293;3.247;12.7;51.8;410;1.063;4.86;45.4;65.0;62.77;33.35;78;89.31;36.00;0.64
Lebanon;74.26;4.467;0.7689;37.68;111.88;3.18;0.385;100;13.75;0.6;1.2;13.40;95.52;4.675;0.002;0.000;2.2;9.1;16;1.274;74.70;27.4;79.3;88.35;6.71;118;3.34;3.13;17.62
Jordan;73.67;6.459;0.7483;33.69;115.37;4.50;0.473;100;13.51;1.9;2.2;1.10;95.99;3.601;0.000;0.000;2.0;18.7;50;3.945;44.00;23.0;74.0;147.80;2.10;95;2.00;11.56;40.22
Panama;72.62;3.864;0.7797;51.90;116.42;2.95;0.454;91;13.28;1.3;8.1;43.41;79.71;2.584;9.493;0.137;17.2;17.9;85;1.658;44.92;27.4;77.6;158.05;8.39;411;20.15;19.30;4.10
Lithuania;72.37;2.956;0.8394;32.63;108.50;3.50;0.125;100;16.39;8.4;51.0;34.71;74.05;4.538;0.000;0.000;6.7;4.9;11;2.012;72.13;37.6;73.3;147.04;2.50;329;14.49;23.40;4.90
Turkmenistan;71.03;5.240;0.6875;38.67;117.17;4.91;0.359;100;10.80;7.5;32.5;8.78;74.66;12.184;0.000;0.000;12.8;55.2;61;0.008;12.20;21.1;65.6;135.78;5.20;224;0.00;25.81;4.32
Syria;66.12;19.633;0.5937;35.78;143.20;5.99;0.533;96;12.27;0.2;0.7;2.74;98.68;2.626;123.285;0.000;2.2;14.6;49;5.070;28.09;38.2;69.6;70.95;6.84;58;1.45;12.40;6.37
Costa Rica;65.44;4.872;0.7657;48.61;115.33;3.24;0.349;100;13.86;2.2;11.2;51.91;48.26;1.656;46.138;0.000;8.5;9.6;38;2.428;49.41;60.0;79.4;143.83;12.28;314;51.80;33.33;8.61
Uruguay;64.62;3.407;0.7928;41.32;126.87;3.14;0.313;100;15.50;5.2;20.0;10.48;57.01;2.298;12.545;1.012;7.9;11.1;14;2.683;61.46;27.4;77.2;160.80;5.26;281;42.11;11.54;2.16
Bolivia;63.33;10.671;0.6618;46.64;121.41;5.85;0.444;91;13.15;8.5;16.2;52.23;72.75;1.561;272.882;15.900;12.1;39.1;200;0.798;39.02;67.6;68.3;96.34;3.27;140;27.25;51.81;1.45
Côte d'Ivoire;63.13;20.316;0.4622;43.19;109.01;6.72;0.679;56;8.94;4.1;10.6;32.71;21.51;0.332;2.115;1.074;13.6;100.0;720;0.289;14.60;39.4;51.5;106.25;26.88;34;78.96;9.16;12.04
Cameroon;60.96;22.254;0.5118;40.72;108.03;7.81;0.587;54;10.40;3.4;10.9;41.20;26.80;0.268;13.505;5.194;7.6;94.5;590;0.912;11.00;51.1;55.5;75.69;30.25;119;73.20;27.14;1.31
Nepal;60.40;27.797;0.5475;32.82;130.42;9.50;0.489;76;12.35;20.0;30.1;25.36;12.54;0.160;232.550;8.776;2.9;39.7;190;0.798;15.44;26.0;69.6;82.49;39.64;48;86.89;29.48;3.49
Afghanistan;57.55;30.552;0.4653;27.82;127.19;5.99;0.693;43;9.27;5.3;6.2;2.07;48.99;0.421;528.893;4.927;6.5;97.3;400;0.786;6.39;46.4;60.4;74.88;46.80;76;76.35;27.64;0.34
Slovenia;56.82;2.060;0.8803;24.87;106.29;2.21;0.016;100;16.81;4.4;20.8;62.41;66.59;7.504;6.416;0.106;0.7;2.9;7;2.259;71.59;41.2;80.4;112.08;1.18;66;34.51;27.69;11.26
Bahrain;56.54;1.332;0.8239;29.00;105.65;2.24;0.265;98;14.40;2.9;11.6;0.74;99.89;18.131;0.007;0.000;0.5;6.1;22;9.163;91.00;39.5;76.6;173.27;2.19;275;0.00;15.00;54.75
Zambia;55.24;14.539;0.5855;57.49;121.34;10.10;0.587;22;13.50;10.8;20.8;66.10;8.76;0.224;380.677;2.234;10.7;87.4;280;0.915;17.34;51.9;60.1;67.34;44.51;119;91.83;12.66;0.68
Myanmar;54.61;10.304;0.5356;38.40;112.45;8.49;0.413;52;8.63;10.3;16.5;47.69;21.31;0.199;66.005;0.147;15.2;50.5;200;2.044;2.10;31.8;65.9;49.47;25.21;120;78.69;4.72;0.19
Paraguay;53.28;6.802;0.6792;48.01;115.25;4.33;0.472;98;11.91;3.2;9.1;43.35;33.81;0.806;266.273;0.212;9.7;21.9;110;0.610;43.00;46.8;72.9;105.60;19.88;118;145.19;16.80;2.73
Democratic Republic of the Congo;52.88;67.514;0.4331;44.43;128.59;5.99;0.673;16;9.75;4.8;15.8;67.71;4.21;0.054;31.809;2.427;28.3;118.5;730;0.191;3.00;64.1;58.7;53.49;29.28;33;95.84;8.17;0.66
Uganda;51.40;37.579;0.4827;44.55;142.72;5.20;0.538;18;9.77;12.3;26.9;14.07;48.99;0.108;389.938;32.053;10.7;66.1;360;1.206;17.71;62.2;58.5;52.43;75.16;97;74.19;34.97;1.41
Luxembourg;47.66;0.543;0.8919;29.00;108.01;1.27;0.100;100;13.88;4.4;13.0;33.49;87.36;20.898;0.000;0.000;0.8;2.0;11;0.945;94.67;39.5;81.7;148.37;5.60;122;3.98;28.33;43.25
El Salvador;47.65;6.340;0.6658;41.80;107.79;4.28;0.427;94;12.26;5.7;23.5;13.43;47.87;1.069;59.457;1.817;41.2;15.7;69;1.283;29.70;26.3;73.0;144.03;16.21;422;51.90;27.38;0.66
Cambodia;44.55;15.135;0.5548;31.82;111.77;7.78;0.477;31;10.90;6.5;12.6;55.74;26.22;0.308;436.312;0.000;6.5;37.9;170;4.210;9.00;22.3;68.4;155.11;35.77;106;71.12;19.02;0.50
Latvia;43.94;2.013;0.8188;36.03;106.71;2.86;0.167;100;15.24;4.3;30.7;54.31;63.69;3.787;0.000;0.000;4.7;8.4;13;1.536;75.83;26.8;74.2;124.20;9.71;304;33.84;18.00;13.80
Trinidad and Tobago;39.52;1.341;0.7719;28.53;120.81;4.04;0.371;100;12.35;6.2;20.4;43.85;99.93;37.188;0.000;0.000;28.3;21.3;84;0.434;65.10;41.2;70.4;147.34;10.61;281;0.07;24.66;2.42
Honduras;36.00;8.098;0.6061;57.40;118.11;4.76;0.480;82;11.10;2.8;8.3;44.26;51.59;1.082;193.185;1.142;90.4;22.2;120;0.863;19.08;50.1;73.1;93.52;30.35;153;48.76;25.78;0.34
Bosnia and Herzegovina;35.95;3.829;0.7325;33.04;105.71;4.82;0.201;100;13.60;4.1;18.0;42.84;93.92;6.185;105.598;0.000;1.3;6.6;8;0.529;60.80;46.9;76.5;91.28;17.23;78;7.89;19.30;0.61
Estonia;33.29;1.325;0.8608;32.69;112.15;2.76;0.164;100;16.48;3.8;24.9;51.80;88.15;14.050;0.010;0.000;5.0;3.4;11;2.868;84.24;31.3;76.8;160.69;3.02;238;14.59;19.80;16.31
Laos;31.60;6.770;0.5750;36.22;119.30;8.62;0.407;70;10.58;6.6;11.2;67.57;63.67;0.184;150.836;0.000;5.9;71.4;146;2.510;14.26;50.1;66.2;66.99;26.66;69;71.62;25.00;0.32
Madagascar;31.38;22.925;0.5099;40.63;123.23;7.07;0.407;15;10.35;6.9;15.2;21.38;63.67;0.113;518.969;27.637;11.1;56.0;440;0.196;3.70;46.4;65.1;38.22;62.03;87;71.62;20.53;0.15
Gabon;31.17;1.672;0.6835;42.19;104.46;5.22;0.514;89;12.50;4.5;12.1;85.38;38.87;1.403;10.920;0.087;9.1;56.1;240;0.269;9.81;37.9;64.4;210.37;4.70;196;61.13;16.22;23.63
Georgia;31.10;4.477;0.7541;41.35;106.97;6.45;0.382;100;13.80;1.0;5.7;39.39;72.80;1.769;14.778;0.611;4.3;13.1;41;5.392;48.90;9.1;74.9;124.94;0.18;225;28.30;11.33;4.37
