idCliente,edad,esJubilado,esObrero,esTrabajadorDependiente,esTécnico,esGerente,esTrabajadorIndependiente,esEmpresario,esDivorciado,esCasado,esSoltero,conEnsenanzaBasica,conEnsenanzaMedia,conTecnicoProfesional,conUniversitario,tieneMora,salMedioAnual,tieneCredHipot,tieneCredConsumo,medioContacPreferenteFonoParticular,medioContacPreferenteCelular,medioContacPreferenteEmailing,contConSuEjecutivo,tieneInv
92,78,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
93,77,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4321000,0,0,0,1,0,0,0
94,74,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,949000,0,0,0,1,0,1,1
95,76,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1154000,0,0,1,0,0,0,1
96,78,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,243000,0,0,0,1,0,1,0
97,78,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
98,78,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
99,73,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,122000,0,0,1,0,0,0,0
100,75,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,155000,0,0,1,0,0,2,0
101,71,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3669000,0,0,0,1,0,0,0
102,76,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1468000,0,0,0,1,0,0,1
103,70,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,997000,0,0,0,1,0,3,1
104,76,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,235000,0,0,0,1,0,3,0
105,71,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8304000,0,0,1,0,0,11,0
106,73,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,499000,0,0,1,0,0,4,0
107,75,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5861000,0,0,1,0,0,0,0
108,75,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,155000,0,0,1,0,0,3,0
109,77,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,594000,0,0,1,0,0,0,0
110,73,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1021000,0,0,1,0,0,0,0
111,70,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1861000,0,0,1,0,0,0,0
112,71,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8304000,0,0,1,0,0,13,1
113,73,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,355000,0,0,1,0,0,0,0
114,69,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1610000,0,0,0,1,0,0,0
115,75,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2000,0,0,1,0,0,0,0
116,74,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,6483000,0,0,1,0,0,0,0
117,77,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1548000,0,0,0,1,0,0,0
118,71,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2994000,0,0,0,1,0,0,0
119,75,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2954000,0,0,0,1,0,0,0
120,75,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,155000,0,0,1,0,0,0,0
121,74,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,462000,0,0,0,1,0,0,0
122,71,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,87000,0,0,1,0,0,0,0
123,70,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,997000,0,0,0,1,0,1,1
124,77,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
125,72,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2354000,0,0,1,0,0,2,1
126,76,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1468000,0,0,0,1,0,3,0
127,75,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,668000,0,0,1,0,0,1,1
128,72,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2354000,0,0,1,0,0,3,0
129,75,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,173000,0,0,0,1,0,0,0
130,71,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8304000,0,0,1,0,0,12,1
131,75,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,631000,0,0,1,0,0,3,0
132,76,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2628000,0,0,1,0,0,2,0
133,70,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2787000,0,0,1,0,0,1,1
134,72,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4738000,0,0,1,0,0,0,0
135,75,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,631000,0,0,1,0,0,1,0
136,74,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1910000,0,0,1,0,0,0,0
137,70,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2661000,0,0,0,1,0,0,1
138,70,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8304000,0,0,0,1,0,9,1
139,75,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3025000,0,0,0,1,0,3,1
140,76,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,909000,0,0,0,1,0,1,0
141,73,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,723000,0,0,1,0,0,3,1
142,69,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,79000,0,0,0,1,0,0,0
143,71,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2354000,0,0,1,0,0,0,0
144,76,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
145,73,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,336000,0,0,0,1,0,1,0
146,69,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3481000,0,0,1,0,0,0,0
147,71,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1058000,0,0,1,0,0,0,0
148,74,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,20000,0,0,0,1,0,1,0
149,70,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8556000,0,0,1,0,0,2,1
150,73,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,723000,0,0,1,0,0,0,0
151,74,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,668000,0,0,1,0,0,0,1
152,70,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,429000,0,0,1,0,0,0,1
153,76,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
154,75,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3025000,0,0,1,0,0,6,0
155,70,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8304000,0,0,1,0,0,0,1
156,71,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,499000,0,0,1,0,0,0,0
157,69,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8556000,0,0,1,0,0,0,1
158,69,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,240000,0,0,0,1,0,0,0
159,67,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1016000,0,0,0,1,0,0,0
160,69,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2787000,0,0,1,0,0,0,1
161,74,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4807000,0,0,1,0,0,4,1
162,72,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1389000,0,0,0,1,0,0,1
163,71,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3208000,0,0,1,0,0,0,1
164,71,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,832000,0,0,1,0,0,0,0
165,69,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3417000,0,0,0,1,0,1,1
166,70,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,680000,0,0,1,0,0,9,0
167,72,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4917000,0,0,0,1,0,0,0
168,67,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2735000,0,0,1,0,0,0,0
169,70,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,158000,0,0,0,1,0,0,0
170,72,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2235000,0,0,1,0,0,0,1
171,75,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2628000,0,0,1,0,0,0,0
172,68,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1780000,1,0,0,1,0,7,1
173,73,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,14204000,0,0,0,1,0,1,0
174,70,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,527000,0,0,0,1,0,0,1
175,74,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,631000,0,0,1,0,0,0,0
176,71,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,220000,0,0,0,1,0,0,0
177,75,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
178,71,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,301000,0,0,0,1,0,0,0
179,74,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,226000,0,0,1,0,0,0,0
180,74,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,55000,0,0,1,0,0,1,0
181,71,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,229000,0,0,1,0,0,0,0
182,74,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4807000,0,0,1,0,0,0,1
183,68,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1204000,0,0,1,0,0,0,1
184,69,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3219000,0,0,0,1,0,0,1
185,73,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,38000,0,0,1,0,0,3,0
186,66,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4112000,0,0,1,0,0,3,1
187,74,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2223000,0,0,1,0,0,1,0
188,67,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2590000,0,0,1,0,0,20,1
189,71,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1047000,0,0,0,1,0,0,0
190,69,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,680000,0,0,1,0,0,7,0
191,67,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2590000,0,0,1,0,0,15,0
192,66,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,638000,0,0,0,1,0,1,1
193,67,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2590000,0,0,1,0,0,12,1
194,68,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3417000,0,0,0,1,0,0,1
195,67,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1807000,0,0,1,0,0,0,1
196,67,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1780000,1,0,0,1,0,3,1
197,69,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,680000,0,0,1,0,0,0,0
198,69,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,680000,0,0,1,0,0,3,0
199,66,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,989000,0,0,1,0,0,0,0
200,70,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,121000,0,0,1,0,0,0,0
201,71,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,300000,0,0,0,1,0,0,0
202,74,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
203,66,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,638000,0,0,0,1,0,0,1
204,74,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
205,68,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,699000,0,0,0,1,0,0,1
206,67,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,610000,0,0,0,1,0,0,0
207,74,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
208,67,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1492000,0,0,1,0,0,2,0
209,74,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
210,66,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1385000,0,0,1,0,0,0,0
211,73,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,397000,0,0,1,0,0,3,0
212,72,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2693000,0,0,0,1,0,12,0
213,73,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,820000,0,0,1,0,0,4,1
214,68,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4659000,0,0,0,1,0,0,1
215,71,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3324000,0,0,0,1,0,5,1
216,73,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,397000,0,0,1,0,0,0,1
217,71,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,5619000,0,0,0,1,0,0,0
218,66,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7802000,0,0,1,0,0,2,1
219,67,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1780000,1,0,0,1,0,5,1
220,72,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,992000,0,0,0,1,0,2,0
221,72,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,38000,0,0,1,0,0,0,0
222,66,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2123000,0,0,1,0,0,0,0
223,66,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7802000,0,0,1,0,0,0,1
224,66,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4112000,0,0,1,0,0,2,1
225,74,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,639000,0,0,1,0,0,0,0
226,67,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,9601000,0,0,1,0,0,0,1
227,72,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1208000,0,0,1,0,0,0,0
228,74,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,29340000,0,0,0,1,0,2,1
229,74,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
230,72,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,802000,0,0,0,1,0,5,1
231,66,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1780000,1,0,1,0,0,0,1
232,66,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3049000,0,0,0,1,0,0,1
233,70,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2991000,0,0,0,1,0,2,0
234,67,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,852000,0,0,1,0,0,0,0
235,73,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2223000,0,0,1,0,0,0,1
236,73,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8919000,0,0,0,1,0,0,0
237,71,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2693000,0,0,0,1,0,2,0
238,72,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,820000,0,0,1,0,0,0,1
239,66,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,4984000,0,0,1,0,0,1,1
240,66,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2590000,0,0,1,0,0,0,0
241,66,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1411000,0,0,1,0,0,0,1
242,73,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
243,70,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3324000,0,0,0,1,0,1,1
244,68,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,86000,0,0,0,1,0,0,0
245,72,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,163000,0,0,1,0,0,0,0
246,66,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1411000,0,0,1,0,0,3,1
247,65,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,242000,0,0,1,0,0,0,0
248,72,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,802000,0,0,0,1,0,0,1
249,69,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2632000,0,0,0,1,0,0,0
250,70,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2991000,0,0,0,1,0,1,1
251,65,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4112000,0,0,1,0,0,0,1
252,71,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,992000,0,0,0,1,0,0,0
253,71,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2693000,0,0,0,1,0,0,1
254,66,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1492000,0,0,1,0,0,0,1
255,66,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2302000,0,0,1,0,0,0,0
256,70,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3324000,0,0,0,1,0,3,1
257,73,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
258,66,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2302000,0,0,1,0,0,2,0
259,70,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3324000,0,0,0,1,0,4,1
260,66,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,4984000,0,0,1,0,0,2,0
261,66,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1483000,0,0,0,1,0,0,0
262,69,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,291000,0,0,0,1,0,2,0
263,69,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3504000,0,0,1,0,0,0,0
264,64,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,962000,0,0,0,1,0,0,0
